Datos de caudal medio diario en m3/s para estaciones de aforo en ríos,,,,,,,,,,,,,,
Estacion,Ao,Dia,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep
5125,2007-2008,1,0.15,0.19,0.23,0.20,0.25,0.53,0.37,0.84,0.61,0.21,0.92,0.10
5125,2007-2008,2,0.19,0.20,0.23,0.26,0.25,0.51,0.37,0.79,0.67,0.18,0.96,0.11
5125,2007-2008,3,0.24,0.19,0.23,1.05,0.25,0.44,0.37,0.79,0.53,0.14,0.98,0.11
5125,2007-2008,4,0.24,0.17,0.23,4.30,0.25,0.47,0.33,0.72,0.45,0.11,1.04,0.12
5125,2007-2008,5,0.23,0.15,0.23,3.00,0.25,0.52,0.30,0.61,0.42,0.09,0.64,0.11
5125,2007-2008,6,0.21,0.15,0.23,1.31,0.25,0.50,0.30,0.53,0.39,0.09,0.33,0.10
5125,2007-2008,7,0.19,0.14,0.23,0.89,0.25,0.48,0.30,0.49,0.37,0.33,0.45,0.10
5125,2007-2008,8,0.18,0.14,0.23,0.52,0.25,0.48,0.34,0.48,0.36,0.45,1.02,0.11
5125,2007-2008,9,0.18,0.14,0.23,0.41,0.27,0.48,2.42,0.49,0.43,0.23,1.02,0.11
5125,2007-2008,10,0.16,0.13,0.23,0.31,0.26,0.44,14.90,0.46,0.38,0.16,1.04,0.11
5125,2007-2008,11,0.15,0.13,0.23,0.25,0.25,0.41,-,0.44,0.25,0.42,1.05,0.12
5125,2007-2008,12,0.14,0.13,0.23,0.31,0.26,0.39,15.90,0.49,0.19,0.70,0.69,0.14
5125,2007-2008,13,0.14,0.13,0.23,0.32,0.26,0.38,4.97,0.49,0.20,0.74,0.36,0.99
5125,2007-2008,14,0.14,0.12,0.22,0.32,0.27,0.38,2.67,0.48,0.21,0.70,0.44,0.64
5125,2007-2008,15,0.14,0.11,0.19,0.30,0.26,0.38,1.34,0.47,0.22,0.54,1.02,0.30
5125,2007-2008,16,0.12,0.13,0.19,0.27,0.24,0.39,0.81,0.49,0.22,0.28,1.03,0.22
5125,2007-2008,17,0.12,0.16,0.19,0.24,0.23,0.41,0.52,0.47,0.15,0.18,1.07,0.19
5125,2007-2008,18,0.12,0.18,0.20,0.31,0.24,0.41,0.46,0.46,0.11,0.51,0.66,0.17
5125,2007-2008,19,0.12,0.20,0.21,0.30,0.34,0.40,1.28,0.46,0.11,0.77,0.32,0.15
5125,2007-2008,20,0.12,2.36,0.20,0.24,3.90,0.39,5.88,0.45,0.15,0.75,0.24,0.13
5125,2007-2008,21,0.12,-,0.22,0.30,5.02,0.40,12.80,0.51,0.14,0.69,0.21,0.14
5125,2007-2008,22,0.12,27.70,0.21,0.28,3.09,0.41,6.25,0.46,0.18,0.57,0.18,0.16
5125,2007-2008,23,0.12,8.55,0.22,0.25,1.61,0.42,3.50,0.70,0.13,0.29,0.17,0.21
5125,2007-2008,24,0.12,3.60,0.25,0.25,1.50,0.43,2.33,0.72,0.11,0.25,0.14,0.29
5125,2007-2008,25,0.12,2.33,0.23,0.25,1.42,0.42,1.27,0.64,0.10,0.55,0.13,0.25
5125,2007-2008,26,0.14,1.05,0.21,0.25,1.12,0.38,1.01,0.70,0.10,0.87,0.12,0.16
5125,2007-2008,27,0.17,0.79,0.20,0.25,0.76,0.37,0.96,0.54,0.11,0.92,0.10,0.14
5125,2007-2008,28,0.20,0.67,0.22,0.25,0.69,0.37,0.91,0.50,0.13,0.93,0.09,0.14
5125,2007-2008,29,0.20,0.38,0.21,0.25,0.60,0.37,0.87,0.63,0.18,0.65,0.08,0.15
5125,2007-2008,30,0.19,0.27,0.21,0.25,-,0.38,0.85,0.64,0.22,0.31,0.08,0.16
5125,2007-2008,31,0.19,-,0.20,0.25,-,0.38,-,0.70,-,0.28,0.09,-
5125,2008-2009,1,0.14,0.23,3.05,0.90,1.13,0.98,0.76,0.79,0.56,0.35,0.68,0.44
5125,2008-2009,2,0.08,7.70,2.60,0.46,4.50,1.02,0.87,0.66,0.55,0.32,0.77,0.26
5125,2008-2009,3,0.13,5.59,1.28,0.49,21.00,2.22,0.88,0.65,0.55,0.30,0.38,0.55
